Date,X,Y,Z
2021-03-10 09:05:00,0.0,0.0,0.0
2021-03-10 09:05:00.250000,0.0,0.0,0.0
2021-03-10 09:05:00.500000,0.0,0.0,0.0
2021-03-10 09:05:00.750000,0.0,0.0,0.0
2021-03-10 09:05:01,0.0,0.0,0.0
2021-03-10 09:05:01.250000,0.0,0.0,0.0
2021-03-10 09:05:01.500000,0.0,0.0,0.0
2021-03-10 09:05:01.750000,0.0,0.0,0.0
2021-03-10 09:05:02,0.0,0.0,0.0
2021-03-10 09:05:02.250000,0.0,0.0,0.0
2021-03-10 09:05:02.500000,0.0,0.0,0.0
2021-03-10 09:05:02.750000,0.0,0.0,0.0
2021-03-10 09:05:03,0.0,0.0,0.0
2021-03-10 09:05:03.250000,0.0,0.0,0.0
2021-03-10 09:05:03.500000,0.0,0.0,0.0
2021-03-10 09:05:03.750000,0.0,0.0,0.0
2021-03-10 09:05:04,0.0,0.0,0.0
2021-03-10 09:05:04.250000,0.0,0.0,0.0
2021-03-10 09:05:04.500000,0.0,0.0,0.0
2021-03-10 09:05:04.750000,0.0,0.0,0.0
2021-03-10 09:05:05,0.0,0.0,0.0
2021-03-10 09:05:05.250000,0.0,0.0,0.0
2021-03-10 09:05:05.500000,0.0,0.0,0.0
2021-03-10 09:05:05.750000,0.0,0.0,0.0
2021-03-10 09:05:06,0.0,0.0,0.0
2021-03-10 09:05:06.250000,0.0,0.0,0.0
2021-03-10 09:05:06.500000,0.0,0.0,0.0
2021-03-10 09:05:06.750000,0.0,0.0,0.0
2021-03-10 09:05:07,0.0,0.0,0.0
2021-03-10 09:05:07.250000,0.0,0.0,0.0
2021-03-10 09:05:07.500000,0.0,0.0,0.0
2021-03-10 09:05:07.750000,0.0,0.0,0.0
2021-03-10 09:05:08,0.0,0.0,0.0
2021-03-10 09:05:08.250000,0.0,0.0,0.0
2021-03-10 09:05:08.500000,0.0,0.0,0.0
2021-03-10 09:05:08.750000,0.0,0.0,0.0
2021-03-10 09:05:09,0.0,0.0,0.0
2021-03-10 09:05:09.250000,0.0,0.0,0.0
2021-03-10 09:05:09.500000,0.0,0.0,0.0
2021-03-10 09:05:09.750000,0.0,0.0,0.0
2021-03-10 09:05:10,0.0,0.0,0.0
2021-03-10 09:05:10.250000,0.0,0.0,0.0
2021-03-10 09:05:10.500000,0.0,0.0,0.0
2021-03-10 09:05:10.750000,0.0,0.0,0.0
2021-03-10 09:05:11,0.0,0.0,0.0
2021-03-10 09:05:11.250000,0.0,0.0,0.0
2021-03-10 09:05:11.500000,0.0,0.0,0.0
2021-03-10 09:05:11.750000,0.0,0.0,0.0
2021-03-10 09:05:12,0.0,0.0,0.0
2021-03-10 09:05:12.250000,0.0,0.0,0.0
2021-03-10 09:05:12.500000,0.0,0.0,0.0
2021-03-10 09:05:12.750000,0.0,0.0,0.0
2021-03-10 09:05:13,0.0,0.0,0.0
2021-03-10 09:05:13.250000,0.0,0.0,0.0
2021-03-10 09:05:13.500000,0.0,0.0,0.0
2021-03-10 09:05:13.750000,0.0,0.0,0.0
2021-03-10 09:05:14,0.0,0.0,0.0
2021-03-10 09:05:14.250000,0.0,0.0,0.0
2021-03-10 09:05:14.500000,0.0,0.0,0.0
2021-03-10 09:05:14.750000,0.0,0.0,0.0
2021-03-10 09:05:15,0.0,0.0,0.0
2021-03-10 09:05:15.250000,0.0,0.0,0.0
2021-03-10 09:05:15.500000,0.0,0.0,0.0
2021-03-10 09:05:15.750000,0.0,0.0,0.0
2021-03-10 09:05:16,0.0,0.0,0.0
2021-03-10 09:05:16.250000,0.0,0.0,0.0
2021-03-10 09:05:16.500000,0.0,0.0,0.0
2021-03-10 09:05:16.750000,0.0,0.0,0.0
2021-03-10 09:05:17,0.0,0.0,0.0
2021-03-10 09:05:17.250000,0.0,0.0,0.0
2021-03-10 09:05:17.500000,0.0,0.0,0.0
2021-03-10 09:05:17.750000,0.0,0.0,0.0
2021-03-10 09:05:18,0.0,0.0,0.0
2021-03-10 09:05:18.250000,0.0,0.0,0.0
2021-03-10 09:05:18.500000,0.0,0.0,0.0
2021-03-10 09:05:18.750000,0.0,0.0,0.0
2021-03-10 09:05:19,0.0,0.0,0.0
2021-03-10 09:05:19.250000,0.0,0.0,0.0
2021-03-10 09:05:19.500000,0.0,0.0,0.0
2021-03-10 09:05:19.750000,0.0,0.0,0.0
2021-03-10 09:05:20,0.0,0.0,0.0
2021-03-10 09:05:20.250000,0.0,0.0,0.0
2021-03-10 09:05:20.500000,0.0,0.0,0.0
2021-03-10 09:05:20.750000,0.0,0.0,0.0
2021-03-10 09:05:21,0.0,0.0,0.0
2021-03-10 09:05:21.250000,0.0,0.0,0.0
2021-03-10 09:05:21.500000,0.0,0.0,0.0
2021-03-10 09:05:21.750000,0.0,0.0,0.0
2021-03-10 09:05:22,0.0,0.0,0.0
