sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
ACC,76.1094,77.5168,78.1354,78.4357,78.0861,78.4178
STD ACCURACY,0,0.7792,0.9519,0.5636,0.6764,0.7085
RECALL,89.1892,84.4498,87.751,87.0849,85.7336,85.1737
STD RECALL,0,2.2602,3.0391,2.8224,1.9724,3.2436
PRECISION,68.6989,72.0741,71.6537,72.2578,72.2856,72.9724
STD PRECISION,0,1.7747,1.5625,1.2412,1.0954,1.3743

ACC,0,1.4074,2.026,2.3263,1.9767,2.3084
