sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
EDA,55.5356,59.3232,59.2246,59.1573,59.5652,59.8924
STD ACCURACY,0,2.0325,1.9968,3.0089,2.1075,2.2351
RECALL,84.9421,66.4768,72.0367,66.5058,77.2201,69.5077
STD RECALL,0,21.6924,18.9014,22.1407,5.9998,16.6868
PRECISION,51.2821,56.2598,55.3634,54.809,54.8187,56.2288
STD PRECISION,0,3.2991,2.8293,4.0123,2.2221,3.1462

EDA,0,3.7875,3.6889,3.6217,4.0296,4.3568
