sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
EDA,0.5478180050849915,0.6245125293731689,0.6403899669647217,0.6193129062652588,0.628319400548935,0.6153203248977661
RECALL,0.190476194024086,0.7415238112211228,0.7447619080543518,0.8060952395200729,0.7617142856121063,0.6839999981224537
PRECISION,0.6172839403152466,0.6035081207752228,0.6146614134311676,0.5857600212097168,0.6020102262496948,0.6059886574745178
STD,0,1.6631394804572759,1.8393077873349486,2.000492347468168,1.7035220117741108,3.6427818780710544

EDA,0,7.6695,9.2572,7.1495,8.0501,6.7502
