sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
EDA,0.45868152379989624,0.46146702766418457,0.6035283207893372,0.4995357394218445,0.47910863161087036,0.4976787269115448
RECALL,0.23999999463558197,0.24761904776096344,0.7257142663002014,0.003809523768723011,0.31809523701667786,0.392380952835083
PRECISION,0.40645161271095276,0.4126984179019928,0.5737951993942261,0.1111111119389534,0.4513513445854187,0.4813084006309509
STD,0,0.04960547042364036

EDA,0,0.2786,14.4847,4.0854,2.0427,3.8997
