sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
EDA,0.45868152379989624,0.5468895107507705,0.5601671367883683,0.4971216320991516,0.5227483749389649,0.5181058496236801
RECALL,0.23999999463558197,0.5430476203560829,0.578285713493824,0.003809523768723011,0.4491428606212139,0.43333333283662795
PRECISION,0.40645161271095276,0.520079618692398,0.5295777767896652,0.09892734363675118,0.4819769561290741,0.4718092232942581
STD,0,5.270278900528452,5.509416249842025,0.24635974039151187,5.24272599571822,5.7916693827754875

EDA,0,8.8208,10.1486,3.844,6.4067,5.9424
