sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
EDA,0.8848653435707092,0.9215413212776185,0.8958217382431031,0.906778085231781,0.9164345383644104,0.9081708490848541
RECALL,0.9847618937492371,0.9826666712760925,0.9807618975639343,0.987238097190857,0.9817142844200134,0.9809523820877075
PRECISION,0.8167456388473511,0.8726313948631287,0.8348392844200134,0.8470162212848663,0.8651810169219971,0.8529032289981842
STD,0,0.9257196187973022,0.9192200303077698,0.9312906265258789,0.9108635187149048,0.9043639898300171,0.9275766015052795,0.9229340553283691,0.9192200303077698,0.9257196187973022,0.9285051226615906,0.7979204880125156,0.9117920398712158,0.8737233281135559,0.9062209725379944,0.9108635187149048,0.903435468673706,0.8913649320602417,0.8662952780723572,0.8867223858833313,0.9173630475997925,0.8904364109039307,1.6134625292774958,0.903435468673706,0.9099349975585938,0.9080780148506165,0.892293393611908,0.9015784859657288,0.9145775437355042,0.9127205014228821,0.9090064764022827,0.9108635187149048,0.9052924513816833,0.6161806446065071,0.9127205014228821,0.9145775437355042,0.9257196187973022,0.9071494936943054,0.9229340553283691,0.9164345264434814,0.9173630475997925,0.9136490225791931,0.9108635187149048,0.9229340553283691,0.5601894337460488,0.9164345264434814,0.893221914768219,0.902506947517395,0.89415043592453,0.9117920398712158,0.9164345264434814,0.9285051226615906,0.9015784859657288,0.9173630475997925,0.8997214436531067,1.1021084575110478

EDA,0,3.6676,1.0956,2.1913,3.1569,2.3306
