sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
EDA,0.45868152379989624,0.547818012535572,0.4946611076593399,0.49976786971092224,0.5380687043070793,0.5020891427993774
RECALL,0.23999999463558197,0.5638095289468765,0.32523808628320694,0.0033333332976326346,0.5161904729902744,0.3809523694217205
PRECISION,0.40645161271095276,0.5169959366321564,0.46473877876996994,0.10355616919696331,0.5099689438939095,0.4459688514471054
STD,0,0.05205831920685237

EDA,0,8.9136,3.598,4.1086,7.9387,4.3408
