sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
EDA,0.45868152379989624,0.6007428169250488,0.6109563708305359,0.45682451128959656,0.5394614934921265,0.6007428169250488
RECALL,0.23999999463558197,0.7219047546386719,0.7942857146263123,0.032380953431129456,0.5123809576034546,0.7142857313156128
PRECISION,0.40645161271095276,0.5716440677642822,0.5728021860122681,0.1808510571718216,0.5284872055053711,0.572519063949585
STD,0,0.05825509776931927

EDA,0,14.2061,15.2275,-0.1857,8.078,14.2061
