sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
EDA,55.5356,58.9063,60.9727,57.9695,60.5199,59.7759
STD ACCURACY,0,1.7791,1.8225,1.4355,1.8196,2.4116
RECALL,84.9421,73.639,70.3861,79.2085,72.9344,76.4479
STD RECALL,0,16.5375,12.005,11.1928,9.8281,7.0789
PRECISION,51.2821,54.8925,56.8756,53.6042,56.0949,55.1546
STD PRECISION,0,2.7838,2.5527,2.5151,2.3294,2.6844

EDA,0,3.3707,5.437,2.4339,4.9843,4.2403
