sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
EDA,55.5356,59.8386,60.4751,59.9014,61.2192,60.0672
STD ACCURACY,0,1.9249,2.3842,2.1484,2.0985,2.9346
RECALL,84.9421,72.8764,61.9208,78.0985,71.6506,74.2278
STD RECALL,0,11.7483,19.482,5.7937,7.9279,8.8568
PRECISION,51.2821,55.6309,57.9592,55.029,56.9221,55.77
STD PRECISION,0,2.7692,3.3928,2.1785,2.6765,3.2229

EDA,0,4.303,4.9395,4.3658,5.6836,4.5316
