sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
BVP,60.7351,63.1869,62.7297,62.7566,63.8279,63.913
STD ACCURACY,0,0.7828,0.6801,0.6277,1.0207,0.5818
RECALL,71.9112,62.4228,59.3533,65.2992,63.2529,60.9846
STD RECALL,0,1.4935,4.655,3.3513,5.4761,5.4555
PRECISION,56.015,59.9787,60.0966,58.9895,60.796,61.3462
STD PRECISION,0,1.0515,1.4165,0.9969,1.9972,1.6861

BVP,0,2.4518,1.9946,2.0215,3.0928,3.1779
