sensor,baseline,jitter,scale,magWarp,timeWarp,permutation
bvp,0.7251625061035156,0.7633240461349488,0.7581244170665741,0.7598885715007782,0.733054780960083,0.7298978626728058
RECALL,0.8590475916862488,0.9133333384990692,0.9072381019592285,0.9110476195812225,0.8716190338134766,0.8963809430599212
PRECISION,0.6701337099075317,0.6960782051086426,0.6921921491622924,0.6929964661598206,0.6752386748790741,0.6655635416507721
STD,0,0.7641596794128418,0.7623026967048645,0.7567316889762878,0.7678737044334412,0.7604456543922424,0.7613741755485535,0.7706592679023743,0.7576601505279541,0.7632312178611755,0.7688022255897522,0.4403310056692606,0.7502321004867554,0.7558031678199768,0.7623026967048645,0.7650882005691528,0.7493036389350891,0.7641596794128418,0.7623026967048645,0.7548746466636658,0.7539461255073547,0.7632312178611755,0.565169215383824,0.7548746466636658,0.7660167217254639,0.7604456543922424,0.7576601505279541,0.7520891427993774,0.7632312178611755,0.7604456543922424,0.7604456543922424,0.7623026967048645,0.7613741755485535,0.3855255428259185,0.7353760600090027,0.7270194888114929,0.7260909676551819,0.7335190176963806,0.7418755888938904,0.7307335138320923,0.7353760600090027,0.727948009967804,0.73723304271698,0.7353760600090027,0.47752684431545794,0.7214484810829163,0.7214484810829163,0.7335190176963806,0.7307335138320923,0.7446610927581787,0.7205199599266052,0.7307335138320923,0.7298049926757812,0.7316620349884033,0.7344475388526917,0.6978624452827852

bvp,0,3.8162,3.2962,3.4726,0.7892,0.4735
